index,CID,SMILES
15183,LAU-MED-88a3970a-5,O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2c(CCCO)cc(Cl)cc21
15185,LAU-MED-88a3970a-7,O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2c(CCCCO)cc(Cl)cc21
15187,LAU-MED-88a3970a-9,CS(=O)(=O)CCc1cc(Cl)cc2c1OCC[C@H]2C(=O)Nc1cncc2ccccc12
15189,LAU-MED-88a3970a-11,CNCCCc1cc(Cl)cc2c1OCC[C@H]2C(=O)Nc1cncc2ccccc12
15191,LAU-MED-88a3970a-13,COCCCc1cc(Cl)cc2c1OCC[C@H]2C(=O)Nc1cncc2ccccc12
15193,LAU-MED-88a3970a-15,NS(=O)(=O)CCc1cc(Cl)cc2c1OCC[C@H]2C(=O)Nc1cncc2ccccc12
15195,LAU-MED-88a3970a-17,CNC(=O)CCc1cc(Cl)cc2c1OCC[C@H]2C(=O)Nc1cncc2ccccc12
15280,ED_-GRI-5b13fbe2-1,O=C(O)c1cc(CNCCO[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)on1
15281,ED_-GRI-5b13fbe2-2,CC(CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NCc1cc(C(=O)O)no1
15282,ED_-GRI-5b13fbe2-3,NC(CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)c1nnn[nH]1
15283,ED_-GRI-5b13fbe2-4,N[C@H](CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)c1nnn[nH]1
15284,ED_-GRI-5b13fbe2-5,N[C@@H](CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)c1nnn[nH]1
15285,ED_-GRI-5b13fbe2-6,CN(C)CC(=O)NC[C@@H](O)CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
15286,ED_-GRI-5b13fbe2-7,O=C(Nc1cncc2ccccc12)[C@]1(OCc2cn(CC3CNCCO3)nn2)CCOc2ccc(Cl)cc21
15287,ED_-GRI-5b13fbe2-8,NCCNCCOCCO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
15288,ED_-GRI-5b13fbe2-9,NCC(CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)c1nnn[nH]1
15289,ED_-GRI-5b13fbe2-10,CC(N)(CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)c1nnn[nH]1
15290,ED_-GRI-5b13fbe2-11,NC(=O)CN1CCN(CCO[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1
15291,ED_-GRI-5b13fbe2-12,O=C(Nc1cncc2ccccc12)[C@]1(OCCN(CCO)CCOCCO)CCOc2ccc(Cl)cc21
15292,ED_-GRI-5b13fbe2-13,O=C(Nc1cncc2ccccc12)[C@]1(OC[C@@H]2CN[C@@H](CO)CN2)CCOc2ccc(Cl)cc21
15293,ED_-GRI-5b13fbe2-14,O=C(O)CCNC(=O)CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
15294,ED_-GRI-5b13fbe2-15,CN(CCN)CCOCCO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
15295,ED_-GRI-5b13fbe2-16,NC(CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)c1cn(CC2CC2)nn1
15296,ED_-GRI-5b13fbe2-17,N[C@H](CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)c1cn(CC2CC2)nn1
15297,ED_-GRI-5b13fbe2-18,N[C@@H](CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)c1cn(CC2CC2)nn1
15298,ED_-GRI-5b13fbe2-19,O=C(Nc1cncc2ccccc12)[C@]1(OCCOCCNCCOCCO)CCOc2ccc(Cl)cc21
15299,ED_-GRI-5b13fbe2-20,O=C(Nc1cncc2ccccc12)[C@]1(OC[C@H]2CNC[C@H](CO)O2)CCOc2ccc(Cl)cc21
15300,ED_-GRI-5b13fbe2-21,O=C(Nc1cncc2ccccc12)[C@]1(OC[C@@H]2CNC[C@H](CO)O2)CCOc2ccc(Cl)cc21
15301,ED_-GRI-5b13fbe2-22,O=C(Nc1cncc2ccccc12)[C@]1(OC[C@@H]2CNC[C@@H](CO)O2)CCOc2ccc(Cl)cc21
15302,ED_-GRI-5b13fbe2-23,NCc1cnn2c1CN(CCO[C@@]1(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc31)CC2
15303,ED_-GRI-5b13fbe2-24,O=C(Nc1cncc2ccccc12)[C@]1(OCc2cn(CC3CNC3)nn2)CCOc2ccc(Cl)cc21
15304,ED_-GRI-5b13fbe2-25,O=C(Nc1cncc2ccccc12)[C@]1(OCCNCCOCCO)CCOc2ccc(Cl)cc21
15305,ED_-GRI-5b13fbe2-26,NC1CC(Cn2cc(CO[C@@]3(C(=O)Nc4cncc5ccccc45)CCOc4ccc(Cl)cc43)nn2)C1
15306,ED_-GRI-5b13fbe2-27,O=C(Nc1cncc2ccccc12)[C@]1(OCCn2cc(CN3CCNCC3)cn2)CCOc2ccc(Cl)cc21
15307,ED_-GRI-5b13fbe2-28,NCc1nnn(CCO[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)c1C(F)F
