index,CID,SMILES,mHash,mHashGeneric
2478,AVI-UNI-c9bf710f-1,O=C(Cl)N1CCN(Cc2cccc(Cl)c2)CC(c2cc(O)ccc2O)C1,c1ccc(CN2CCNCC(c3ccccc3)C2)cc1,C1CCC(CC2CCCCC(C3CCCCC3)C2)CC1
2479,AVI-UNI-c9bf710f-2,O=C(Cl)N1CCN(Cc2cc(O)ccc2O)CC(c2cc(O)ccc2O)C1,c1ccc(CN2CCNCC(c3ccccc3)C2)cc1,C1CCC(CC2CCCCC(C3CCCCC3)C2)CC1
2480,AVI-UNI-70b60925-1,O=C(CCl)N1CCN(Cc2cccc(Cl)c2)CC(c2cc(O)ccc2O)C1,c1ccc(CN2CCNCC(c3ccccc3)C2)cc1,C1CCC(CC2CCCCC(C3CCCCC3)C2)CC1
2481,AVI-UNI-70b60925-2,O=C(CCl)N1CCN(Cc2cc(O)ccc2O)CC(c2cc(O)ccc2O)C1,c1ccc(CN2CCNCC(c3ccccc3)C2)cc1,C1CCC(CC2CCCCC(C3CCCCC3)C2)CC1
2482,NAU-LAT-f723e322-1,CC(=O)NCCc1c[nH]c2c(CN3CCN(C(=O)CCl)CC3)cc(F)cc12,c1cc(CN2CCNCC2)c2[nH]ccc2c1,C1CCC(CC2CCCC3CCCC32)CC1
2483,NAU-LAT-f723e322-2,CC(=O)NCCc1c[nH]c2c(CN3CCN(C(=O)C#N)CC3)cc(F)cc12,c1cc(CN2CCNCC2)c2[nH]ccc2c1,C1CCC(CC2CCCC3CCCC32)CC1
2484,NAU-LAT-f723e322-3,Cc1cccc(Nc2ccc(C(=O)CCl)cc2NS(C)(=O)=O)c1,c1ccc(Nc2ccccc2)cc1,C1CCC(CC2CCCCC2)CC1
2485,NAU-LAT-f723e322-4,C=CC(=O)N1CCN(S(C)(=O)=O)CC1c1ccccc1,c1ccc(C2CNCCN2)cc1,C1CCC(C2CCCCC2)CC1
2486,NAU-LAT-f723e322-5,Cc1ccc(NCc2ccccc2)c(S(=O)(=O)N2CCN(C(=O)CCl)CC2)c1,c1ccc(CNc2ccccc2SN2CCNCC2)cc1,C1CCC(CCC2CCCCC2CC2CCCCC2)CC1
2487,NAU-LAT-f723e322-6,Cc1cc(/C=C/C(=O)N2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)no1,C(=C/c1ccon1)\CN1CCN(Sc2ccccc2)CC1,C1CCC(CC2CCC(CCCC3CCCC3)CC2)CC1
